quarter,gdp_real_sa,gov_exp_sa,hicp_index_2015_100_q_avg,infl_q_dlog_pct,euribor3m_q_avg,gdp_g_q_dlog_pct,gov_g_q_dlog_pct,taxes_mrd_eur,tax_g_q_dlog_pct
2011Q1,795.477,309.483,94.1,0.9252735051529904,1.096666666666667,1.7917462031626918,0.9401598297057668,150.557,-1.718055053353229
2011Q2,797.634,310.515,94.83333333333331,0.7762918306941202,1.413333333333333,0.2707910896437404,0.3329046071435471,159.631,5.852315171589151
2011Q3,801.947,312.465,95.23333333333332,0.4209055670342465,1.5633333333333337,0.5392675272052116,0.6260253518560965,143.364,-10.747805112030395
2011Q4,801.861,311.6,95.63333333333333,0.4191413750591621,1.5,-0.0107244757580282,-0.2772148907394189,161.731,12.054761063423136
2012Q1,803.565,312.955,96.36666666666667,0.7638926034981175,1.0433333333333332,0.2122801848098987,0.4339096239616147,158.074,-2.287118344367478
2012Q2,804.428,314.903,96.8,0.4486633928340033,0.6966666666666667,0.107338786034461,0.6205244659304832,164.159,3.777219253227315
2012Q3,806.067,317.792,97.26666666666668,0.4809353138044869,0.36,0.2035399757024159,0.913242582543372,153.614,-6.6392507952540925
2012Q4,803.651,316.858,97.56666666666666,0.3079557609154904,0.1966666666666666,-0.3001770265523618,-0.294335672984225,166.169,7.856238036819629
2013Q1,799.208,321.323,98.13333333333333,0.5791193156881036,0.2133333333333333,-0.5543858042898364,1.399312375791251,162.027,-2.5242354749867246
2013Q2,808.525,324.355,98.3,0.169692896650897,0.2066666666666666,1.1590362704341215,0.9391747237506464,172.84,6.460332305202687
2013Q3,812.666,325.525,98.90000000000002,0.6085211475546082,0.2233333333333333,0.51086010296304,0.3600668628267023,159.257,-8.18470615335416
2013Q4,813.874,323.397,98.9,0.0,0.24,0.1485361838136079,-0.6558592952659481,172.235,7.834057384306448
2014Q1,822.371,327.871,99.06666666666666,0.1683785546827465,0.2966666666666666,1.03860685668824,1.3739567679233566,167.069,-3.045292263653465
2014Q2,822.199,330.116,99.2,0.1344990115333288,0.3,-0.0209173219293923,0.6823869503698177,176.874,5.70307139345525
2014Q3,826.771,333.489,99.66666666666669,0.4693270431749496,0.1666666666666666,0.5545293990615541,1.0165773458400196,165.661,-6.549408305915438
2014Q4,833.068,336.856,99.33333333333331,-0.3350086885282266,0.08,0.7587519283574373,1.0045658027101112,181.722,9.253451516172895
2015Q1,831.257,339.982,98.93333333333334,-0.4034975212179326,0.0466666666666666,-0.2176258500901973,0.9237135701737564,176.983,-2.642436401039383
2015Q2,835.57,342.963,100.43333333333334,1.5047934843030577,-0.0033333333333333,0.5175113705047529,0.8729894594948107,182.915,3.296788129899486
2015Q3,840.056,341.013,100.73333333333332,0.2982603702383457,-0.03,0.5354429589616849,-0.570196990324856,174.056,-4.9644477546546995
2015Q4,844.369,349.334,99.86666666666667,-0.8640798195574284,-0.09,0.5121046559793285,2.410788488400062,187.518,7.449775428685879
2016Q1,851.789,353.25,99.06666666666666,-0.8042938799460941,-0.1866666666666666,0.8749240734495345,1.1147536956634063,185.896,-0.8687463251448868
2016Q2,853.687,355.817,100.33333333333331,1.2704951905271322,-0.26,0.2225772492333355,0.7240532177176462,191.025,2.7216931982319004
2016Q3,856.706,362.211,101.13333333333333,0.7941802165556844,-0.3,0.3530186495484422,1.781036120768853,180.928,-5.430514746250559
2016Q4,860.674,357.978,100.9,-0.2309850886759612,-0.3133333333333333,0.4621000664893238,-1.1755382951051274,198.368,9.20247294483838
2017Q1,871.846,366.856,100.83333333333331,-0.066093855677618,-0.33,1.289699957890189,2.4497868486437646,197.092,-0.6453266718310147
2017Q2,878.057,375.334,102.0,1.1503824481484235,-0.33,0.7098708993431124,2.284689574399401,199.956,1.442671754328817
2017Q3,885.045,368.28,102.96666666666664,0.9432497972155396,-0.33,0.7926979371633003,-1.897277780923723,189.409,-5.41886442420676
2017Q4,894.017,374.081,102.46666666666664,-0.4867768820040474,-0.33,1.008629947980566,1.5628833085464144,206.722,8.74661973676174
2018Q1,889.078,375.331,102.3,-0.1627869478805443,-0.33,-0.5539819954992531,0.3335951810822912,204.262,-1.1971411925739694
2018Q2,896.066,379.286,103.96666666666664,1.6160661988067204,-0.3266666666666666,0.782910027871786,1.0482234600178053,212.869,4.127346948643229
2018Q3,890.199,384.637,105.23333333333332,1.2109771950188808,-0.32,-0.6569037738345607,1.400949445942956,197.25,-7.620499330474573
2018Q4,894.168,394.075,104.66666666666669,-0.5399409655692189,-0.3166666666666666,0.4448643743897307,2.424121413706626,211.685,7.062736092103616
2019Q1,900.034,391.942,103.90000000000002,-0.7351799134962533,-0.31,0.6538863406575501,-0.5427376852856547,208.658,-1.4402772623897775
2019Q2,900.552,400.027,105.7,1.7175994771010394,-0.3166666666666666,0.0575368257100805,2.041817517021016,219.388,5.014530370050707
2019Q3,904.002,408.515,106.3,0.5660392471710018,-0.3999999999999999,0.3823664133482118,2.099658850218855,203.422,-7.5559212699572775
2019Q4,900.983,410.131,105.9,-0.3770032740541218,-0.4033333333333333,-0.3345183273301799,0.3947987528175822,220.818,8.20561937952986
2020Q1,882.694,418.851,105.53333333333336,-0.3468393828558902,-0.4066666666666667,-2.050779482910769,2.103862722619887,211.95,-4.098843502070881
2020Q2,804.363,451.68,106.43333333333334,0.8491952273824488,-0.3,-9.292793485250783,7.54587164186562,192.01,-9.880294379382093
